INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Alabama A & M University,AL,1,3,23751.0,14559.0,,40628.0,31000,0.2874,5726.0
University of Alabama at Birmingham,AL,1,3,27826.0,17727.0,,54501.0,22300,0.626,12118.0
Amridge University,AL,2,3,,,,37621.0,32189,0.4,226.0
University of Alabama in Huntsville,AL,1,3,27098.0,19880.0,,61767.0,20705,0.6191,6650.0
Alabama State University,AL,1,3,22028.0,13889.0,,34502.0,31000,0.3018,3322.0
The University of Alabama,AL,1,3,32024.0,22150.0,,59221.0,22750,0.7369,32323.0
Central Alabama Community College,AL,1,1,19815.0,14346.0,,33506.0,9766,,1134.0
Athens State University,AL,1,3,,,,50273.0,18051,,2407.0
Auburn University at Montgomery,AL,1,3,21873.0,14596.0,,44391.0,25000,0.3568,2693.0
Auburn University,AL,1,3,34402.0,23897.0,,65337.0,21000,0.7921,25732.0
Birmingham-Southern College,AL,2,3,38385.0,,23351.0,59481.0,25000,0.6418,713.0
Chattahoochee Valley Community College,AL,1,1,12032.0,5814.0,,36438.0,10500,,1044.0
South University-Montgomery,AL,3,3,30704.0,,25157.0,34421.0,26123,0.1538,302.0
Enterprise State Community College,AL,1,1,14798.0,8187.0,,42572.0,7499,,1476.0
Coastal Alabama Community College,AL,1,2,15171.0,9514.0,,34894.0,11000,,4714.0
Faulkner University,AL,2,3,36910.0,,21165.0,43457.0,23000,0.3766,1555.0
Gadsden State Community College,AL,1,1,10687.0,3568.0,,32937.0,PS,,3619.0
New Beginning College of Cosmetology,AL,3,1,,,13055.0,,9500,,39.0
George C Wallace Community College-Dothan,AL,1,1,9863.0,2697.0,,31399.0,PS,,3053.0
George C Wallace State Community College-Hanceville,AL,1,1,18748.0,14042.0,,39842.0,11000,,4413.0
George C Wallace State Community College-Selma,AL,1,2,9505.0,970.0,,31598.0,PS,,828.0
Herzing University-Birmingham,AL,2,1,27195.0,,20957.0,36909.0,21500,0.25,445.0
Huntingdon College,AL,2,3,39686.0,,21401.0,49601.0,27000,0.4694,865.0
Heritage Christian University,AL,2,3,,,,42597.0,PS,0.5,63.0
J. F. Drake State Community and Technical College,AL,1,1,11908.0,4644.0,,28281.0,PS,,719.0
J F Ingram State Technical College,AL,1,1,,,,,PS,,826.0
Jacksonville State University,AL,1,3,23422.0,14850.0,,45235.0,22189,0.5112,7030.0
Jefferson State Community College,AL,1,2,14384.0,9024.0,,40719.0,9689,,5443.0
John C Calhoun State Community College,AL,1,1,12687.0,7336.0,,38192.0,12000,,6928.0
Lawson State Community College,AL,1,2,15028.0,6564.0,,31701.0,PS,,2720.0
University of West Alabama,AL,1,3,22402.0,13832.0,,44232.0,24944,0.3804,2666.0
Lurleen B Wallace Community College,AL,1,1,10223.0,3041.0,,32307.0,PS,,1122.0
Marion Military Institute,AL,1,2,18458.0,10137.0,,59644.0,9250,,308.0
Miles College,AL,2,3,22900.0,,14514.0,32627.0,31217,0.2566,1151.0
University of Mobile,AL,2,3,38731.0,,19603.0,43611.0,26500,0.5551,1079.0
University of Montevallo,AL,1,3,26233.0,17053.0,,42957.0,24000,0.4938,2087.0
Northwest Shoals Community College,AL,1,1,10894.0,4545.0,,33828.0,10000,,1924.0
University of North Alabama,AL,1,3,22086.0,11024.0,,45415.0,22077,0.5403,5468.0
Northeast Alabama Community College,AL,1,1,10620.0,1612.0,,34913.0,6100,,1547.0
Oakwood University,AL,2,3,38592.0,,23384.0,42488.0,27000,0.4891,1253.0
Reid State Technical College,AL,1,1,9066.0,131.0,,28982.0,PS,,365.0
Bishop State Community College,AL,1,1,11530.0,4176.0,,29916.0,PS,,2100.0
Samford University,AL,2,3,53934.0,,30795.0,58469.0,19500,0.7988,3828.0
Selma University,AL,2,3,,,,,,0.24,34.0
Shelton State Community College,AL,1,1,16607.0,10880.0,,35014.0,PS,,3191.0
Snead State Community College,AL,1,1,12583.0,6369.0,,35735.0,9000,,1494.0
University of South Alabama,AL,1,3,22070.0,15142.0,,49379.0,24929,0.5257,8540.0
Spring Hill College,AL,2,3,37172.0,,19514.0,51500.0,27000,0.5612,850.0
Stillman College,AL,2,3,23485.0,,12272.0,35421.0,29067,0.4103,761.0
Talladega College,AL,2,3,23441.0,,13461.0,32229.0,28500,0.6497,782.0
H Councill Trenholm State Community College,AL,1,2,12148.0,5568.0,,32183.0,PS,,1584.0
Troy University,AL,1,3,21816.0,13869.0,,42062.0,25000,0.4684,10089.0
Tuskegee University,AL,2,3,41924.0,,32977.0,49641.0,27000,0.5709,2367.0
United States Sports University,AL,2,3,,,,55257.0,PS,,136.0
Bevill State Community College,AL,1,1,15238.0,5249.0,,34107.0,PS,,2189.0
University of Alaska Anchorage,AK,1,3,21848.0,13780.0,,51871.0,20210,0.2894,6916.0
Alaska Bible College,AK,2,3,22101.0,,14093.0,,PS,1.0,34.0
University of Alaska Fairbanks,AK,1,3,21182.0,9634.0,,48866.0,20291,0.3197,4027.0
University of Alaska Southeast,AK,1,1,16796.0,7233.0,,48475.0,19111,0.3097,920.0
Alaska Pacific University,AK,2,3,34964.0,,18976.0,54271.0,23500,0.4688,400.0
Alaska Vocational Technical Center,AK,1,1,,12071.0,,51083.0,PS,,452.0
Charter College,AK,3,1,31188.0,,25225.0,35504.0,14176,0.5753,2277.0
Alaska Career College,AK,3,1,,,18091.0,34468.0,7377,,255.0
Empire Beauty School-Tucson,AZ,3,1,,,16609.0,25073.0,13000,,213.0
Carrington College-Phoenix North,AZ,3,1,,,,36718.0,9500,,1087.0
Carrington College-Mesa,AZ,3,1,,,47290.0,36718.0,9500,,492.0
Carrington College-Tucson,AZ,3,1,,,39975.0,36718.0,9500,,437.0
Arizona Academy of Beauty,AZ,3,1,,,15544.0,21201.0,5250,,49.0
Miller-Motte College-Arizona Automotive Institute,AZ,3,1,,,22180.0,31102.0,15917,,513.0
Brookline College-Phoenix,AZ,3,3,,,,29576.0,9500,0.5023,714.0
Arizona State University Campus Immersion,AZ,1,3,28047.0,13670.0,,62668.0,19500,0.6785,64398.0
Arizona Western College,AZ,1,2,15857.0,9582.0,,36857.0,4826,,6198.0
University of Arizona,AZ,1,3,28543.0,15960.0,,59979.0,19620,0.6589,40769.0
Central Arizona College,AZ,1,1,9024.0,4591.0,,40513.0,10010,,4892.0
Charles of Italy Beauty College,AZ,3,1,,,11641.0,26269.0,7388,,88.0
Cochise County Community College District,AZ,1,2,13638.0,7420.0,,38033.0,6750,,3007.0
Empire Beauty School-Chandler,AZ,3,1,,,16662.0,23921.0,10667,,98.0
Avalon Institute-Mesa,AZ,3,1,,,16847.0,30803.0,6332,,388.0
Eastern Arizona College,AZ,1,1,16280.0,9765.0,,38018.0,PS,,3058.0
Embry-Riddle Aeronautical University-Prescott,AZ,2,3,60158.0,,39983.0,84131.0,23666,0.6976,3245.0
The School of Architecture,AZ,2,4,,,,,PS,,
Glendale Community College,AZ,1,1,18056.0,12158.0,,43108.0,6960,0.144,10180.0
Grand Canyon University,AZ,3,3,31493.0,,21931.0,42186.0,22114,0.4304,68619.0
GateWay Community College,AZ,1,1,18316.0,12871.0,,46147.0,6750,0.1955,3473.0
Mesa Community College,AZ,1,1,18975.0,13438.0,,44034.0,7473,,12049.0
Mohave Community College,AZ,1,1,10952.0,6806.0,,35522.0,9700,,2750.0
Universal Technical Institute-Phoenix,AZ,3,1,,,21925.0,48341.0,13097,,567.0
Dine College,AZ,1,2,13872.0,10218.0,,29188.0,PS,0.0549,1507.0
Northern Arizona University,AZ,1,3,29495.0,14922.0,,54384.0,19000,0.5686,23041.0
Northland Pioneer College,AZ,1,1,14174.0,9251.0,,34199.0,PS,,1024.0
Phoenix College,AZ,1,1,18033.0,11728.0,,40870.0,6750,,6952.0
Pima Community College,AZ,1,1,8916.0,3123.0,,39810.0,7000,,13869.0
Pima Medical Institute-Tucson,AZ,3,2,,,,38673.0,9500,0.7264,2619.0
Pima Medical Institute-Albuquerque,NM,3,1,,,20348.0,30917.0,5500,,737.0
Prescott College,AZ,2,3,47228.0,,20906.0,42359.0,16300,0.3594,253.0
Refrigeration School Inc,AZ,3,1,,,25300.0,52953.0,8233,,1271.0
Rio Salado College,AZ,1,1,13740.0,8764.0,,41015.0,9500,0.039,4879.0
Roberto-Venn School of Luthiery,AZ,3,1,,,25894.0,35209.0,PS,,15.0
Scottsdale Community College,AZ,1,1,19682.0,14380.0,,47905.0,8000,,4274.0
